24; "Unidades e polos FIAP"; "A FIAP possui quatro unidades em São Paulo e mais quatro polos pelo Brasil."
25; "Alura para Empresas"; "A Alura Para Empresas engloba as soluções corporativas da Alura, voltadas a empresas, órgãos governamentais e instituições educacionais."
26; "Soluções Alura para Empresas"; "Resumo das Soluções: Plataforma de cursos, Plataforma de gestão, Comunidade de aprendizado, Luri, Formação de profissionais iniciantes, Aceleração de competências, Capacitação em Digital Skills, Desenvolvimento de especialistas e lideranças."
27; "Plataforma de cursos Alura para Empresas"; "Mais de 1500 cursos online de tecnologia."
28; "Plataforma de gestão Alura para Empresas"; "Visão exclusiva para o acompanhamento da jornada de aprendizado. Criação de trilhas de estudo, customização do aprendizado, geração de relatório e acompanhamento do desempenho do time em tempo real."
29; "Comunidade de aprendizado Alura para Empresas"; "Discord e conteúdos em diferentes formatos."
30; "Luri (IA da Alura para Empresas)"; "Inteligência artificial para personalização do aprendizado e criação de planos de estudo. Personalize o aprendizado com trilhas e recomendações inteligentes."
31; "Formação de profissionais iniciantes (Empresas)"; "Formação e criação de novas oportunidades no setor tech."
32; "Aceleração de competências (Empresas)"; "Desenvolvimento de competências em times de tecnologia."
33; "Capacitação em Digital Skills (Empresas)"; "Desenvolvimento de todas as áreas da empresa em competências tech."
34; "Desenvolvimento de especialistas e lideranças (Empresas)"; "Capacitaçes para profissionais em níveis seniores de carreira."
35; "Conteúdo Exclusivo Alura para Empresas"; "Artigos, Materiais (Conteúdos ricos, práticos e gratuitos para download e aplicação imediata), Podcasts (Conversas com líderes que desenvolvem negócios e equipes)."
36; "Segmentos atendidos pela Alura para Empresas"; "Financeiro (Trilhas focadas em compliance, cibersegurança e dados), Tech (Treinamentos em IA, DevOps e Cloud), Gov (Soluções que promovem transformação digital), Multi (Capacitações versáteis)."
37; "Porte de empresas atendidos pela Alura para Empresas"; "Pequenas e Médias (Soluções acessíveis e flexíveis), Grandes e Enterprise (Programas robustos e personalizados)."
38; "Empresas que já capacitaram times com o ecossistema Alura"; "+9 mil empresas."
39; "Pessoas impactadas pelo ecossistema Alura"; "+3 milhões de pessoas."
40; "Capacitações online e cursos com titulação (Alura)"; "+1.5 mil capacitações online e 45 cursos com titulação oferecidos."
41; "Especialistas (Alura)"; "+950 especialistas em tecnologia, gestão e negócios."
42; "Benefícios e Diferenciais Alura para Empresas"; "Jornadas de aprendizado em tecnologia completas para sua empresa: Aprendizado Completo, Suporte especializado, Metodologia diferenciada, Relatórios personalizados, Flexibilidade de formatos, Jornada de desenvolvimento."
43; "Metodologia Alura para Empresas"; "Adaptação à sua necessidade."
44; "Modalidades Alura para Empresas"; "Online • Ao Vivo • Presencial • Híbrido • In Company."
45; "Sobre a Alura (Missão)"; "Transformar vidas e carreiras."
46; "Sobre a Alura (História)"; "Surgiu como a plataforma online da Caelum. O projeto começou em 2011 e a marca Alura foi criada em junho de 2013."
47; "Fundadores da Alura"; "Paulo Silveira (CEO e Co-fundador) e Guilherme Silveira (Head de Educação e Co-fundador)."
48; "Propósito da Alura (Dev em <T>)"; "O profissional de hoje precisa ser um profissional em <T>. Além de aprofundar na sua área, é necessário navegar em outras vertentes de tecnologia, como UX, Marketing Digital ou Data Science."
49; "Quantidade total de cursos na plataforma Alura"; "1807+ cursos."
50; "Frequência de novos conteúdos Alura"; "Novos lançamentos semanais."
51; "Didática da Alura"; "Desafios reais, projetos práticos conectados ao mercado e a melhor didática, reconhecida por quem estuda com a gente. Metodologia de ensino é mão na massa, vida real. Foco em exemplos práticos e situações reais de trabalho."
52; "Certificados Alura (cursos/formações)"; "A cada formação ou curso concluído, desbloqueie um novo certificado valorizado pelas maiores empresas da área. Para turbinar seu currículo e LinkedIn."
53; "Luri (IA da Alura para alunos)"; "Nossa Inteligência Artificial te ajuda a estudar e se aprofundar nos temas que você tem dúvida, sempre pronta pra te ouvir. Mensagens ILIMITADAS (Plano Ultra)."
54; "Formações Alura (descrição)"; "Sequências de cursos organizados em Formações. Sequências de cursos e conteúdo para você se capacitar em tecnologia e negócios digitais. Trilhas de aprendizado com cursos e experiências para expandir o repertório."
55; "Comunidade Alura (alunos)"; "Maior comunidade tech do país. 120 mil pessoas reunidas na comunidade exclusiva no Discord. Para compartilhar experiências, estudar, tirar dúvidas e construir soluções."
56; "Mentorias Alura (alunos)"; "No Discord, você tem acesso a eventos exclusivos, grupos de estudos e mentorias com especialistas de diferentes áreas."
57; "Alura Língua (alunos)"; "Aprenda um novo idioma. Cursos de Inglês, Espanhol e Inglês para Devs, 100% focado em tecnologia."
58; "Imersões Alura (alunos)"; "Acesso ilimitado ao catálogo de Imersões da Alura (Planos Plus e Ultra). Conteúdo gratuito, maratonas de conhecimento, com foco em temas como programação, data science."
59; "Cursos Imersivos Alura"; "Opções para acelerar carreiras, mergulhos ainda mais profundos em temas específicos. Cursos 100% ao vivo. Conectam a professores experientes e comunidade engajada."
60; "Alura Challenges"; "Experiências imersivas da Alura para expandir portfólio. Oportunidades de construção de portfólio. Projetos que simulam o dia a dia de trabalho."
61; "Alura Cases"; "Permitem entender na prática o que trabalhar em grandes empresas de tecnologia demanda. Tipo de conteúdo disponível."
62; "Casa do Código (Brinde aniversário - Ebooks)"; "Escolha 6 Ebooks da Casa do Código, a editora da Alura, que apoiarão sua jornada de aprendizado para sempre."
63; "Ver e rever cursos (alunos)"; "Dentro do seu plano de acesso, você pode realizar os cursos quantas vezes quiser."
64; "Formas de pagamento Alura (planos)"; "Aceitamos cartão de crédito com parcelamento em até 12 vezes sem juros, compra à vista via Pix ou Boleto. Se você for cliente Nubank, pode parcelar em até 24x ou ter limite extra utilizando o NuPay."
65; "Cancelamento Alura (planos)"; "Possuímos a opção de cancelamento gratuito em até 7 dias após a compra."
66; "Contato Alura (dúvidas)"; "Central de Ajuda, enviar um e-mail para [email protected] ou chamar pelo WhatsApp (11) 98451-0258."
67; "Depoimentos Alura"; "Alunos que aprenderam conteúdo para automatizar trabalho no setor público com Python. Depoimentos sobre cursos de microsserviços e REST. Depoimento sobre formação de React. Depoimento de aluno que estudou 50 cursos em 10 meses. Depoimento sobre formação web de Django com Python. Depoimento sobre formação de agilidade: Business Agility. Depoimentos sobre Java OO, transição de carreira (Inovação & Gestão)."
68; "Escolas da Alura"; "Inteligência Artificial, Inovação & Gestão, Programação, Front End, Data Science, Devops, UX & Design e Mobile."
69; "Escola de Programação (tópicos/linguagens)"; "Lógica de programação, Python, PHP, Java, .NET, Node JS, C, Computação, Jogos, IoT, Javascript, Automação e Produtividade, Quality Assurance, Elixir, Clojure, GoLang, C e C++."
70; "Escola de Front-end (tópicos/tecnologias)"; "HTML, CSS, React, Angular, JavaScript, jQuery, Svelte, VueJS, Next.JS, Automação e Performance, WordPress."
71; "Escola de Data Science (tópicos/tecnologias)"; "Ciência de dados, BI, SQL e Banco de Dados, Excel, Machine Learning, NoSQL, Estatística, Engenharia de Dados, IA para Dados, Python, R, Pandas, Scikit-Learn, Seaborn."
72; "Escola de Inteligência Artificial (tópicos/ferramentas)"; "IA para Programação, IA para Dados, Chat GPT, Midjourney, IA para Criativos, Amazon Bedrock, GPT Code Interpreter, Gemini, LangChain, Claude, OpenAI, TensorFlow Keras, Hugging Face, Copilot Pro, Vertex AI, LlamaIndex, Unsloth."
73; "Escola de DevOps (tópicos/ferramentas)"; "AWS, Azure, Docker, Segurança, IaC, Linux, Builds, FinOps, Automação de processos, Confiabilidade, Começando em DevOps, Arquitetura, Google Cloud Platform, OCI, Containers, Infraestrutura como Código, Mensageria/Streams, Redes, Windows, Terraform, Kubernetes, Ansible, Prometheus, Grafana."
74; "Escola de UX & Design (tópicos/ferramentas/áreas)"; "Usabilidade e UX, Vídeo e Motion, 3D, Design Gráfico, Edição de Vídeo, UI Design, Arquitetura da Informação, Service Design, Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Blender, InDesign, Photoshop, Final Cut."
75; "Escola de Mobile (tópicos/frameworks/linguagens)"; "Flutter, iOS e Swift, Android, Kotlin, Jogos, React Native, Dart, Testes automatizados no Android, Arquitetura Android."
76; "Escola de Inovação & Gestão (tópicos/áreas)"; "Métodos Ágeis, Softskills, Liderança e Gestão, Startups, Vendas, Agilidade, Ensino e Aprendizagem, Marketing Digital, Administração e Gestão, Gestão de Pessoas, Ferramentas de Apoio à Gestão, Certificação PMP e CAPM, Gestão de Produtos, Empreendedorismo."
77; "Casa do Código (Brinde aniversário)"; "6 Ebooks."
78; "Quantidade de cursos na Escola de Programação"; "273 cursos."
79; "Quantidade de cursos na Escola de Front-end"; "200 cursos."
80; "Quantidade de cursos na Escola de Inovação & Gestão"; "344 cursos."
81; "Quantidade de formações na Escola de Mobile"; "28 formações."
82; "Quantidade de formações na Escola de UX & Design"; "43 formações."
83; "Mercado de Programação em números"; "9 de 15 cargos em alta no LinkedIn são tech. 75% dos devs buscam aprender novas linguagens/frameworks anualmente. Vagas em tech cresceram 310% no último ano."
84; "Mercado de DevOps em números"; "53% das organizações implementaram DevOps no último ano. Menos de 2% relatam resistência ao DevOps. 46% das empresas dizem que DevOps será critério principal para contratação."
85; "Cursos Imersivos Alura (descrição)"; "Opções para acelerar carreiras."
86; "Líderes da Escola de Front-end"; "Vinny Neves (Front-end Engineer na Farfetch), Nayanne Batista (Instrutora e Desenvolvedora Front-end na Alura), Neílton Seguins (Instrutor e Desenvolvedor de Software na Alura)."
87; "Líderes da Escola de Inovação & Gestão"; "Priscila Stuani (Instrutora e Product Owner na Alura), Sergio Carvalho (Novos Negócios e Aquisições na Cogna), Marianne Henriques (Líder ágil na APP Sistemas)."
88; "Conteúdos disponíveis na Alura (lista)"; "Alura Cases, Imersões, Artigos, Podcasts, Artigos de educação corporativa, Imersão IA 3ª Edição."
89; "Alura IA Conference 2025"; "Evento mencionado nos conteúdos."
90; "FIAP"; "Centro Universitário referência em tecnologia e nota máxima no MEC. Emite o certificado de conclusão da Pós Tech."
91; "Alura: Para quem é?"; "Indicada para profissionais em todas as fases da carreira, do iniciante ao avançado."
92; "Planos de assinatura Alura"; "Plus (1 ano), Ultra (1 ano), Plus 24 (2 anos)."
93; "Preço Plano Plus (1 ano)"; "12x R$ 87,20 (20% Off) ou à vista R$ 1.046,40."
94; "Preço Plano Ultra (1 ano)"; "12x R$ 167,20 (20% Off) ou à vista R$ 2.006,40."
95; "Preço Plano Plus 24 (2 anos)"; "12x R$ 156,96 (28% Off) ou à vista R$ 1.883,52."
96; "Benefícios Plano Plus (1 ano)"; "Acesso a TODOS os cursos por 1 ano, Formações com mais de 1500 cursos atualizados e novos lançamentos semanais, Certificado a cada curso/formação, Mentorias com especialistas no Discord, Comunidade exclusiva no Discord, Acesso ao conteúdo das Imersões."
97; "Benefícios Plano Ultra (1 ano)"; "Todos os benefícios do PRO (1 ANO) e mais vantagens exclusivas, Luri com mensagens ILIMITADAS."
98; "Benefícios Plano Plus 24 (2 anos)"; "Acesso a TODOS os cursos por 1 ano, Formações com mais de 1500 cursos atualizados e novos lançamentos semanais, Certificado a cada curso/formação."
99; "Qualidade dos certificados da Alura"; "Valorizados pelas maiores empresas da área"
100; "Acesso incluído ao matricular-se na Pós Tech"; "Acesso completo a todos os cursos da Alura, à comunidade exclusiva no Discord, ao suporte da Luri e ao Alura Língua"
101; "Ferramentas/Recursos de gestão de aprendizado na Alura Para Empresas"; "Painel de Gestão do Aprendizado para criação de trilhas, customização, relatórios e acompanhamento de desempenho"
102; "Exemplo de Curso Preparatório para Certificação mencionado"; "AWS Cloud Developing"
103; "Qualidade dos certificados da Alura"; "Valorizados pelas maiores empresas da área (Informação da conversa anterior,não explicitamente nas fontes novas)"
104; "Acesso incluído ao matricular-se na Pós Tech"; "Acesso completo a todos os cursos da Alura, à comunidade exclusiva no Discord, ao suporte da Luri e ao Alura Língua (Informação da conversa anterior",parcialmente suportada por1 para Imersivos)"
105; "Ferramentas/Recursos de gestão de aprendizado na Alura Para Empresas"; "Painel de Gestão do Aprendizado para criação de trilhas, customização, relatórios e acompanhamento de desempenho (Informação da conversa anterior",não explicitamente detalhado nas fontes novas)"
106; "Exemplo de Curso Preparatório para Certificação mencionado"; "AWS Cloud Developing (Informação da conversa anterior,não explicitamente nas fontes novas)"
107; "Fundadores da Alura"; "Paulo Silveira e Guilherme Silveira (Informação também mencionada na conversa anterior)"
108; "Informações essenciais a incluir em proposta para parcerias com influenciadores"; "Introdução, público-alvo, ideias de colaboração, exemplos anteriores, dados de desempenho, mídia kit"
109; "Email para envio de propostas de parceria com influenciadores"; "creators@alura.com.br"
110; "A Alura patrocina ou apoia eventos de terceiros?"; "Sim"
111; "Onde encontrar material com diretrizes para solicitação de apoio/patrocínio a eventos"; "Há um material específico disponível no site para entender as diretrizes, prazos e processos e enviar a proposta"
112; "Email de contato geral da Alura"; "atendimento@alura.com.br"
113; "WhatsApp de contato geral da Alura"; "(11) 98451-0258"
114; "Recurso online para encontrar respostas a perguntas frequentes sobre a Alura"; "Central de Ajuda / Base de conhecimento online"
115; "Razão Social e CNPJ da Alura"; "AOVS Sistemas de Informática S.A CNPJ 05.555.382/0001-33"
116; "Nome do evento de Inteligência Artificial realizado pela Alura em parceria com outras empresas"; "IA Conference Brasil"
117; "Edição mais recente do IA Conference Brasil mencionada nos materiais"; "Segunda edição"
118; "Próxima edição do IA Conference Brasil mencionada nos materiais"; "2025"
119; "Empresas que realizam o IA Conference Brasil"; "Alura, FIAP e PM3"
120; "Propósito do IA Conference Brasil"; "Reunir profissionais interessados em aprimorar conhecimento sobre Inteligência Artificial e suas aplicações práticas"
121; "Público-alvo do IA Conference Brasil"; "Especialistas, gestores, executivos, CTOs, diretores e líderes de equipe, profissionais que buscam aprimorar estratégias de crescimento e inovação"
122; "Tipos de temas abordados no IA Conference Brasil"; "Palestras técnicas avançadas em IA, cases de sucesso, estratégias de implementação e integração da IA nos negócios"
123; "Onde buscar mais informações sobre os temas e palestrantes do IA Conference Brasil"; "Acessar o site oficial do IA Conference Brasil"
124; "Benefícios oferecidos pelo IA Conference Brasil"; "Capacitação de alto nível, Networking estratégico, Conhecimento aplicado, Certificado reconhecido"
125; "Email para contato sobre compras de ingressos para grupos acima de 10 pessoas no IA Conference Brasil"; "iaconferencebr@alura.com.br"
126; "Email de contato geral para dúvidas sobre o IA Conference Brasil"; "iaconferencebr@alura.com.br"
127; "Desconto para alunos Alura,FIAP e PM3 no IA Conference Brasil"; "Sim, 10% de desconto a partir do 2º lote"
128; "Como solicitar o cupom de desconto para alunos no IA Conference Brasil"; "Entrar em contato através do WhatsApp no link (link não fornecido na fonte)"
129; "Emissão de nota fiscal para compra de ingresso do IA Conference Brasil"; "Não emitem Nota Fiscal. O ingresso é considerado documento fiscal válido para efeitos tributários no município de São Paulo"
130; "Base legal para o ingresso do IA Conference Brasil ser considerado documento fiscal em São Paulo"; "Decreto Municipal de São Paulo nº 53.151/2012"
131; "Acessibilidade para portadores de necessidades especiais no IA Conference Brasil"; "Sim, o espaço conta com rampas, elevadores, banheiros adaptados e intérpretes de libras"
132; "Como avisar sobre necessidades especiais para participação no IA Conference Brasil"; "Informar pelo e-mail iaconferencebr@alura.com.br"
133; "Site oficial do IA Conference Brasil"; "iaconferencebrasil.com.br"
134; "Formato da Pós-graduações da Alura"; "Oferecidas em parceria com a FIAP e são 100% digitais com atividade presencial obrigatória ao final"
135; "Certificado das Pós-graduações da Alura"; "Possui reconhecimento máximo pelo MEC"
136; "Certificados emitidos pela Alura"; "A cada curso ou formação concluído"
137; "Duração dos cursos Pós Tech"; "360 horas e 10 meses"
138; "Metodologia de aprendizagem Pós Tech"; "Project Based Learning (PBL)"
139; "Avaliação na Pós Tech"; "Tech Challenge, Hackathon experience, Atividade presencial"
140; "Requisito para matrícula na Pós Tech"; "Formação superior completa (Tecnólogo, Bacharelado ou Licenciatura) realizada no Brasil, com colação de grau"
141; "Nome da frente da Alura voltada para o público corporativo"; "Alura Para Empresas"
142; "Público-alvo da Alura Para Empresas"; "Empresas, órgãos governamentais e instituições educacionais"
143; "Recursos principais oferecidos pela Alura Para Empresas"; "Plataforma com + de 1.5 mil cursos, conteúdos personalizados em diferentes formatos, apoio da IA Luri, atendimento especializado"
144; "Modalidades de ensino oferecidas pela Alura Para Empresas"; "Online, Ao Vivo, Presencial, Híbrido, In Company"
145; "Objetivo da Alura Para Empresas na formação de iniciantes"; "Formação e criação de novas oportunidades no setor tech"
146; "Objetivo da Alura Para Empresas na aceleração de competências"; "Desenvolvimento de competências em times de tecnologia"
147; "Objetivo da Alura Para Empresas na capacitação em Digital Skills"; "Desenvolvimento de todas as áreas da empresa em competências tech"
148; "Objetivo da Alura Para Empresas no desenvolvimento de lideranças"; "Capacitação para profissionais em níveis seniores de carreira"
149; "Número aproximado de cursos na plataforma Alura"; "+ de 1.5 mil cursos"
150; "Número de escolas ou áreas do conhecimento oferecidas pela Alura"; "8 escolas"
151; "Escolas ou áreas do conhecimento oferecidas pela Alura"; "Programação, Front-end, DevOps, Mobile, Data Science, UX & Design, Inteligência Artificial, Inovação & Gestão"
152; "Nome da Inteligência Artificial da Alura"; "Luri"
153; "Como a Luri auxilia os estudantes"; "Ajuda a estudar, aprofundar em temas, oferece suporte em dúvidas, personaliza o aprendizado, cria planos de estudo"
154; "Nome do recurso de IA que permite enviar imagens para obter explicações"; "Luri Vision"
155; "Plano de assinatura que inclui o recurso Luri Vision"; "Plano Ultra"
156; "Benefícios e funcionalidades da Luri Vision"; "Permite enviar qualquer tipo de imagem (incluindo capturas de tela de exercícios/conteúdos) e receber explicações detalhadas; Ajuda com dúvidas, melhora o aprendizado em diversas áreas, é simples e rápido, proporciona mais clareza e interatividade"
157; "Local da comunidade exclusiva da Alura"; "No Discord"
158; "Número aproximado de membros na comunidade Alura Discord"; "Mais de 120 mil pessoas"
159; "Oportunidades oferecidas na comunidade Alura Discord"; "Criar conexões, participar de eventos, grupos de estudo e mentorias com especialistas de diferentes áreas"
160; "Quantidade de vezes que um aluno pode assistir aos cursos"; "Quantas vezes quiser dentro do plano de acesso ativo"
161; "Como funciona o progresso nos cursos ao revê-los"; "O progresso continua salvo, atividades feitas já estarão resolvidas, mas podem ser revistas"
162; "Opção para experimentar a plataforma Alura antes de assinar"; "Teste gratuito disponível"
163; "Prazo para cancelamento gratuito de planos regulares (exceto Cursos Imersivos)"; "Em até 7 dias após a compra"
164; "Prazo para solicitar reembolso de Cursos Imersivos"; "Em até 7 dias após o início das aulas"
165; "Base legal para o reembolso de Cursos Imersivos"; "Conforme o Código de Defesa do Consumidor"
166; "Objetivo principal dos Cursos Imersivos"; "Acelerar carreiras, voltadas para quem já tem experiência prévia"
167; "Formato das aulas dos Cursos Imersivos"; "Ao vivo, no período noturno, entre 3 ou 4 dias por semana"
168; "O que os alunos dos Cursos Imersivos ganham adicionalmente"; "3 meses adicionais de acesso à plataforma Alura PRO, certificado reconhecido no mercado, acesso ao Talent Lab da FIAP, Kit boas-vindas"
169; "Objetivo dos Cursos Preparatórios para Certificações"; "Para quem busca destaque no mercado com conhecimentos validados nas áreas mais promissoras"
170; "Planos de assinatura oferecidos pela Alura"; "Plus (1 ano), Pro (1 ano), Pro 24 (2 anos), Ultra"
171; "Benefícios incluídos nos planos Plus,Pro e Pro 24"; "Acesso a todos os cursos, novos conteúdos toda semana, certificados, mentorias com especialistas, comunidade exclusiva, acesso ao conteúdo das Imersões, App Android e iOS para estudar offline"
172; "Benefícios adicionais incluídos nos planos Pro e Pro 24"; "Luri, Alura Língua, 6 Ebooks da Casa do Código, Camiseta exclusiva de aniversário (enquanto durarem os estoques)"
173; "Formas de pagamento aceitas pela Alura"; "Cartão de crédito (até 12x sem juros), Pix (à vista), Boleto (à vista), NuPay, PayPal"
174; "Formas de pagamento aceitas na Pós Tech"; "À vista, em 12 vezes ou em 18 vezes (primeira parcela via cartão de crédito ou boleto, demais via boleto)"
175; "Desconto para alunos/ex-alunos FIAP na Pós Tech"; "20% off (aplicado automaticamente via CPF na matrícula)"
176; "Desconto para alunos/ex-alunos Alura na Pós Tech"; "20% off (aplicado automaticamente via e-mail na matrícula)"
177; "Origem do nome Alura"; "Nasceu da Caelum"
178; "Significado do nome Alura"; "Caminho ou pequena rua"
179; "Conteúdos gratuitos disponíveis na página da Alura Para Empresas"; "Artigos, Materiais, Podcasts, Cases"
180; "Conteúdo da newsletter da Alura Para Empresas"; "Insights sobre tech, liderança e educação corporativa"
181; "Missão da Alura"; "Transformar vidas e carreiras"
182; "Conceito do Profissional em <T> na visão da Alura"; "Profissional que navega em diversas vertentes de tecnologia além de sua área principal"
183; "Ano de criação da marca Alura"; "Junho de 2013"
184; "Empresas que compõem o maior ecossistema de ensino de tecnologia do Brasil"; "Alura, FIAP e PM3"
185; "Foco da PM3 no ecossistema"; "Produtos e negócios digitais"
186; "Foco da FIAP no ecossistema"; "Centro universitário focado em tecnologia com cursos de graduação e pós graduação"
187; "Conteúdos complementares oferecidos pela Alura"; "Artigos, Podcasts, Webséries, Imersões"
188; "Exemplos de Podcasts da Alura"; "Like a Boss, Layers.tech"
189; "Conteúdo das Imersões Alura (gratuitas)"; "Maratonas de conhecimento focadas em temas tech"
190; "Linguagens e frameworks da Escola de Data Science"; "Linguagens como Python e R, frameworks como Pandas, Scikit-Learn e Seaborn, ferramentas como Excel, acesso e trabalho com dados em SQL e NoSQL"
191; "Ferramentas/Frameworks da Escola de DevOps"; "AWS, Azure, Google Cloud (Computação na Nuvem), Docker, Kubernetes (Containers), Ansible, Terraforms (Infra como Código), Prometheus, Grafana (Observabilidade)"
192; "Linguagens e frameworks da Escola de Front-end"; "HTML, CSS e JavaScript, frameworks como React, Angular e Vue.JS"
193; "Foco da Escola de Inovação & Gestão"; "Técnicas de gestão de produtos e projetos, agilidade, liderança, desenvolvimento pessoal"
194; "Habilidades desenvolvidas na Escola de Inovação & Gestão"; "Habilidades comportamentais (soft skills), comunicação, produtividade, liderança, gestão de times"
195; "Frameworks da Escola de Mobile"; "Frameworks multiplataforma (Flutter e React Native), desenvolvimento nativo (iOS e Android)"
196; "Linguagens da Escola de Programação"; "Python, JavaScript, PHP, Java, C#, Node.JS e outras"
197; "Ferramentas/Áreas da Escola de UX & Design (exemplos de cursos)"; "Figma, Design Gráfico, Edição de Vídeo, Adobe InDesign, Adobe Photoshop, Adobe Illustrator, Canva, LightRoom Mobile, Powerpoint"
198; "O que é a Alura?"; "A Alura é uma plataforma de ensino online em tecnologia que se posiciona como o maior ecossistema de ensino em tecnologia do Brasil."
199; "Qual o foco da Alura Empresas?"; "A Alura Empresas oferece soluções de educação em tecnologia para organizações, visando o desenvolvimento de seus colaboradores e a inovação."
200; "Como posso falar com especialistas da Alura Empresas?"; "A página 'Fale com Especialistas' da Alura Empresas oferece um formulário para contato direto com a equipe comercial."
201; "Quem são os clientes da Alura Empresas?"; "A Alura Empresas possui uma página dedicada a apresentar seus clientes, incluindo logos de diversas empresas que utilizam seus serviços."
202; "Quais tipos de soluções a Alura Empresas oferece?"; "A Alura Empresas oferece diversas soluções, incluindo programas de desenvolvimento, plataforma de aprendizado e um painel de gestão para empresas."
203; "O que a Alura Empresas oferece em desenvolvimento com foco em impacto social?"; "A Alura Empresas oferece soluções de desenvolvimento que visam gerar impacto social, embora os detalhes específicos não estejam explicitados nessa seção."
204; "Quais são os programas oferecidos pela Alura Empresas?"; "A Alura Empresas oferece programas de desenvolvimento de talentos em tecnologia para empresas."
205; "O que a plataforma da Alura Empresas oferece?"; "A plataforma da Alura Empresas oferece um ambiente de aprendizado online para os colaboradores das empresas."
206; "Qual a funcionalidade do painel de gestão da Alura Empresas?"; "O painel de gestão da Alura Empresas permite que as empresas acompanhem o progresso e o desenvolvimento de seus colaboradores na plataforma."
207; "Como a Alura Empresas aborda as áreas e habilidades para diferentes estágios da carreira?"; "A Alura Empresas segmenta o aprendizado por áreas de conhecimento e habilidades, considerando diferentes estágios de carreira dentro de cada área."
208; "Quais áreas e habilidades a Alura Empresas cobre em Data Science e Analytics?"; "A Alura Empresas oferece trilhas de aprendizado em Data Science e Analytics, abrangendo habilidades como análise de dados e ciência de dados."
209; "Quais áreas e habilidades a Alura Empresas cobre em Gestão e Liderança?"; "A Alura Empresas oferece conteúdo para desenvolvimento de habilidades em gestão e liderança."
